label,text
1,@priya_ebooks Man: (harasses and stalks woman for months on end) Woman: WHY THE FUCK WONT U LEAVE ME ALONE Man: haha crazy bitch
0,They also attack the stat that 1 Aussie woman a week is killed by her partner. They swat it away in the biggest #notallmen ways.
0,Not about any girl who tries to pursue a guy who has a girlfriend. Skank
0,@AnYaMemories @juthee_alam @TheSomyaSeth How do you know baby boy. Baby ho gya kya
0,"@Women_Of_Christ There are men who make women cry and then complain about hysterical, irrational females. https://t.co/3Wt3P9TwOo"
0,Bri: you put in the hole- Me: *starts laughing like a child* Bri: *starts laughing* whoops
1,I SAID WHAT I SAID DELETE THAT BITCH YOU CANT BEAT MY ASS https://t.co/wSu2YqDStL
0,@PeterNHess If you take dick off of the pizza you're erasing my history and heritage
0,"Anybody can dig a hole and plant a tree. But to make sure it survives, you have to nurture it, you have to suffer for it,jst lyk a wife."
0,FAQ: I need fast delivery - can you get me out of a hole? #print #marketing #eventprofs https://t.co/XQ2rzTZbYn
1,@GhostofGigi Are you calling me a Twitter Whore? Kiss indeed..
0,That's the original it came from. But I appreciate the fact that you think I would follow or steal from u. Sit down https://t.co/RV3Z6YlgyU
0,When you've run out of kids to pimp out and you gotta figure out what to do with your life https://t.co/ZfF10KUijT
1,Glad I already seen this hoe😂 that bitch was wylin though https://t.co/U1L05rTDwU
1,'this bitch won't stop riding his dick' LMFAO https://t.co/mDSgX1r0bf
0,I would love to take the credits but you Selvam and the team make it all posssble. Om Sai Ram. #LLLD https://t.co/5y8sUVNKb3
1,What would you do if a girl kicked you in the balls... — Imma cunt punt tf outta hoe 'for no reason' https://t.co/OHjIyCXw8n
0,The bitch flipped millions for em she deserved it..most women would've jacked it off https://t.co/6VBFwuWiDS
1,@usacsmret @NotBenStone1 @LifeZette She clearly thinks women are stupid! Bitch needs to take a seat.
0,"See... I would like your selfie but the way my pride is set up, I'd rather just look at it"
0,#jackandjackdoingitright #USAvsBEL New blog 'Fighting for Men's Rights' --- have a look: #USA http://t.co/g64qzsIcyf
0,Really up wondering why this bitch wants all my seconds 😂 40 something year old whore
0,How butter faces take selfies https://t.co/ATmUujnVN0
1,"Dear Facebook, Jus coz I have these whores numbers in my phone doesn't mean I want them seeing my personal life, please stop suggesting them"
1,some woman just flipped me off for joining a round about 100 yards in front of her. mad cunt
0,@AxAs23 @TeleFootball Stupid cunt chelsea have 3 starting player out long term
0,Nah nah nah ✋🏼😭 https://t.co/oN1NmDnIuG
1,@hindu_whore Be my whore my slut my bitchy ❤❤💋👅
0,Redwood is a traitorous cunt to every man woman and child in the UK. What a buffoon.
1,"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!"""
1,my neighbour is such a cunt i hope someone murders that stupid bitch. preferably tortures her first as well
1,fuckin butch ass cunt motherfucker bitch lick my foot https://t.co/yCmZBPz6hB
1,I thought you had to fuck 20 different guys to be a hoe 🤔 so that explains why women fine someone better but still… https://t.co/1d9ZFHT3kE
0,When you're high AF on FaceTime tuning out a friend that ranting and you tap the screen to see when the video is going to be over
0,SHOVE IT DEEP IN YOUR WILLING KUNT PULLUNG OUT N B... — cunt* https://t.co/ju24EIixMg
0,When someone takes a post too seriously and writes an essay in the comments https://t.co/5I5Tgxnj3i
0,When someone offers you the last piece of pizza https://t.co/WJIEg0HCXi
0,@robinthicke hey man! we're finally on twitter and just wanted to thank you so much again for the ongoing support. you are so inspiring
0,@JackyHolyoake @FireWomon See you are doing it again. No woman who is criticizing McGowan is saying or thinks jokes about rape are ok.
1,Leo looks at Girl Scout cookies the way I look at pussy before I'm about to eat it https://t.co/nVY6iXLnNv
0,When yo girl start yelling at you for no reason. http://t.co/JgXQUNL8wl
0,My walk past you like I never fucked your girl game strong AF
0,When you're fat but so cute that everyone loves you anyway https://t.co/k6j7xAbcEf
1,Your girlfriend is a coke whore
0,"I got an actual real life ‘not all men’ today, have I officially made it as a difficult woman now?"
1,@TEAMNASA_KE Ur the bitch motherfucker Nasa is sick with what I call attention seeking cunt disorder
0,"@manwhohasitall only if a woman of good standing can back up what they are saying, I mean, can we trust men to not be hysterical?"
0,"If we're going to have sex or have had sex, please don't snap me pics of your face swapped with a man... I can't handle that thought process"
0,@GrimKids @hungryhouse I have no sympathy you get everything you deserve for going to that shit hole l
1,"If a girl is cuddling with me & she tells me she don't wanna fuck, that's cool. I'll pull my dick out & beat off right next to her."
1,I might be old but at least I came up in a time when hip hop was in its prime and people didn't have bitch ass feelings
0,@femfreq if you count prison rape men are raped more than women.
1,@BoardGameBrawl These people are hysterical. It's like a commercial for why men should never marry. These women are totally nuts.
0,@Tiggs_Tao British people say cunt like American people say dude I not know this woman at counter asked me for help… https://t.co/A6n1pu0F8I
0,"“not all men” first of all, you stay quiet when women want respect/equality."
1,If she dressed like a hoe in the cold she a real Whore ✋🏾😂😭
1,Why #WomenBoycottTwitter? because you act like Ms. Whore.
1,Da best piece of pussy I got was from a bitch at waffle house that hoe was from Mississippi.. Pussy was tight and slippery
1,Nobody texts faster than a guy that's about to get some new pussy
1,#Women have all the privileges. #Men have all the responsibilities. #ObviousChild End feminism today! http://t.co/6n4V9kBtya
0,@fuertecorazon The era when a woman was either Mother Mary or a whore is over. Women are plain and simply human beings.
1,"Pro Tip- Always call skinny girls fat, they live that shit 🌚"
0,@RepStevenSmith Since you believe in justice for rape victims I hope you will stand up for the women who have accus… https://t.co/d4b9AFEOAT
1,@KellyannePolls @POTUS You lieing kunt!
1,"I can always tell a bitches age by her tattoos... Sleeve, she's younger than me, tramp stamp, she's my age..."
1,I cannot stand girls that ALWAYS have to have a boyfriend. #AttentionWhores #WomenSuck
1,@Corter_back I know. It must be so hard waiving pom poms around at this hour #WomenSuck
0,https://t.co/Q4CRFHSgGi https://t.co/ywh5j97YuJ Harvey Weinstein: More women accuse Hollywood producer of rape https://t.co/ZCoSAY8Z9R https://t.co/5Q38IViAYW
1,Stop trying to prove you're a good driver ladies. Who do you think you're fooling?
1,Hey guys thanks for following! Spread the word and make sure everyone knows #WomenSuck
0,When you spend hours doing your makeup perfectly and bae cancels on you last minute https://t.co/LDOsPKovSz
1,@NivenJ1 @IvankaTrump You must be one of those bottom feeders we warn each other about...sewage spewing skank... Ve… https://t.co/AuYvTGMKim
0,"If I invite you over to take shots, this is what you can expect https://t.co/6foauUxkY0"
0,People that post about how 'blessed' they are always make me wonder who they're trying to convince. It ain't me I know about your coke habit
0,@realDonaldTrump I though in a free country you could worship whoever you want too? Isnt america the home of the free? You're a cunt
1,I wonder if rick will make another deal with those crazy ass women 🤔 and if that crazy ass nigga will actually hoe Daryl again 😐
0,"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky."
0,Red Sox fans are following my blog. Men's rights today !!!! #jobsreport #mensrights #women http://t.co/6n4V9kBtya
1,"@Tbagshitpants Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉"
1,Lol omg you’re such a whore. 😂😂😂 “Who does that Sara?” Blah blah bitch look at yourself😂😂🤘🏼
0,Me flirting- So how wealthy are your parents?
0,I've never liked @JKCorden and he didn't endear himself with the Sean Spicer bromance and Stupid Weistein jokes. Bit of a cunt
1,@misumqt @Don_Sakazuki you cunt.
0,When the DJ plays your joint and the whole crew gets lit https://t.co/e6nArPtBzr
0,"If your in a good relationship, it's probably cause you're both ugly"
0,Well it's a mystery to me too https://t.co/PDMgmgL8DB
1,I wonder why girls even follow me. All I do is call you out on the sick shut you do to us guys #WomenSuck
0,@deanesmay #WeLoveYouConnor Oxymoron Of The Day: 'Independent Women'
1,There are good men out there women stop accepting ass holes that appear to be right.It is a excuse to turn lesbian cuz of a no good man.
1,My life has been so much better without you in it #WomenSuck
0,There's interesting insight to uncover and understand if you want to go down that rabbit hole.
1,@WDRBNews Why is this stupid bitch still relevant?
1,"I think percentage wise, my female followers here are better looking than IG. You always have an open seat on my face. @NorthWitch69 u first"
0,@imbriemarie I'm white. Is there no such thing as racism against whites? http://t.co/TA3ahg4mka
0,When someone I'm sleeping with tries to tell me about their personal life https://t.co/8MNLmSkWFf
1,The 'I'm such a feminist' niggas will 'Not all men' you to death. LMAO
1,why is this women walking outside yelling like bitch we in a white neighborhood chill out 😕
0,RT MightyBusterBro: MOST HATED WOMAN Hysterical tribute to 10 yr FAILED run for US WOMAN Pres. 2008 to 2017 Break… https://t.co/rg71wTWmSy
0,RT @SpinCheychael__: caught myself giving a dirty look to a pigeon today. no one is safe.
1,"The last time I saw a woman of value was at the strip club, and she was worth $1 LOL;"
0,The first time you sleep with a dude with a big dick... And again after he cuts you off https://t.co/S9a4d9GFvz
0,@Swamy39 Sir why you are brewing frustration of #Gurudaspur on #Lord Ram
0,shoutout to the kid(s) who wrote on the dirt on my car saying I was a bitch and a whore :)))
0,Karma points to @gordonhayward but fuck @Money23Green karma is a bitch and @RealSkipBayless is still a cunt.
1,Her : Gucci is a Real Men he married is girl First of all that was Clone Gucci so bitch that hole shit was fake
1,@MSaveryWhiteway @MoiraSSnews @HPEschools Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth
1,When you're sexting a bitch and you think you dropped the fire but she blocks you and you never hear from her again https://t.co/TRNgpJlzyc
0,@cpyne you are a KUNT https://t.co/S9WtCv7nA1
1,"I saw a woman dressed up like a hot dog tonight. Bitch, it ain't Halloween yet"
0,81. #Bozo invites u round for a seemingly harmless sleep over but will spend all night trying to con you into sex or even rape u
0,When a baby won't stop crying so naturally you have to outdo the little shit https://t.co/GqFuZZuxSg
0,Flirting in 2016 https://t.co/6K9rVnYZjA
