label,text
0,"Instead of getting offended and yelling 'not all men' when women say men are trash, maybe take a second to ponder why women think this way?"
1,"We've been fucking this whore, Mother earth for awhile, She's a filthy bitch anyway, Rotting her from the inside out, We are at our end."
1,@FlamingBot WHAT YOU SAY BITCH NIGGA HOE?
1,@dlh8 @BarackObama Talk about NYers like that AFTER you've survived 9/11. Until then shut the fuck up. You are a nasty skank.
1,@ArianasBotch Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you https://t.co/6BXkfxMEf9
0,"Perfect breakfast to start your weekend, ho yummy! Topped with some Green Savi Hot Pepper sauce! What do you have for breakfast? 🌶 https://t.co/MjSEODTfdz"
1,Some absolute skank of a girl out there trying to cause trouble. Not happening love.. I show my girl every message a girl sends me
1,"Let me show and prove it what these hoes ain’t doing, let a real bitch do it 😛"
0,I say 'I do' a lot for someone that would never say I do...
1,@sevans623 @coolmesser @pattonoswalt Women are all harassed? And it's also all men unless we prove other wise? You're a clueless cunt👍
0,"@Espngreeny Greedy, you have to talk about this tomorrow including the hysterical responses."
0,"@lacrlmosa Stop stereotyping women. Just like how not all men are jerks, not all women spill the beans."
0,@glaiveXD WHERE THE FUCK AM I U STUPID CUNT
1,'What do you look for in a woman?' https://t.co/zbnDFOkFbB
0,Should I give you my number? https://t.co/YTdMFZwCdl
1,My dicks name is Curiosity... Cause it kills the kat
1,"'I know. And pregnant women can be a real bitch. Sadly, I know from experience. Ah well. Lifes no longer like that.' https://t.co/LCSHPiNHxa"
1,When you join a relationship women leave this part out #YesAllMen http://t.co/fSDIJBfdoU
1,"@imogenhowson Well, when men get too distracted by women in sexy clothes, they’re forced to catcall, grope and rape. Maybe try that?"
1,but i dont like women as much 😂😪 like they’re dope as a side piece but ive yet to meet a woman i feel like i could drop dick for altogether
1,'Oh so when a man sleeps with lots of women he's cool but when a woman sleeps with lots of men she's a hoe?' YES
0,When you walk past someone and they mumble somethin under their breath https://t.co/lsgmiP3PLI
0,When your whole life is falling apart but you refuse to let them see you sweat https://t.co/Gp3GmVwAMd
0,.... mean about you or your team and your on your video saying I'm crying and a slut and a bitch and all this... like dudes it's a game!!!
1,"Can you bitches stop pulling ya pants up above your belly button, you look like my fuckin grandfather"
1,@lenatheplug The difference is you promote being a slut you dumb bitch you should go fuck yourself and stick some a… https://t.co/cBwXZdMkP4
0,Men! We know that not all men are rapists. We know. You don't need to remind us every time we want to talk about rape. We fucking know.
0,What a stupid cunt you are bro.
0,Me when people take a post too seriously and I'm reading their butt hurt comments https://t.co/D6HrPpScxp
0,'Can you stop getting into abusive relationships I'm tired of listening to you cry and then watch you fall back in the same hole' -Siow 2017
0,"When you find yourself in a hole, quit digging. - Will Rogers #thestressninja #lifecoaching https://t.co/t7s6QrqKCc"
0,Looks like another girl fucked up another relationship. When are you gonna learn ladies?
0,@FoundlingMuseum @bloomsburyfest Who was a #whore? #demi -raps respected women who conducted affairs. #Bunters… https://t.co/VB19bIZsD0
0,hypnotize synthesize love is a lie like a hole in the sky then you die
1,"There is a big reason you are lonely and it’s because you are such a fricken whore that no man can trust or respect you, so stop bitchin’"
0,@go_pack_numba1 @nsilverberg You are 'not all men' af rn dude. I don't have enough characters to explain to you why… https://t.co/Bo9KPiEpoh
1,Ok but @queensoverbitch makes me add her to all DMs just FYI https://t.co/4XJSSCAZa8
1,'Sable is a Whore and a Cunt!' - Sunny Destroys Sable: https://t.co/0xXVJF3YoH via @YouTube
0,When you're Twitter beefin with Brits but don't know who's talkin shit cause you can't understand their slang 🤔
0,@Vaughan1878 I wouldn't put my wm on it if I didn't
1,No matter what color a girl is she still a ho 😂😂 https://t.co/vXak8C0jV2
0,"@robinthicke hey brother, loved the performance the other night. #inspiring"
0,"@RMAjayi Take your time. Find your peace and grow in it. Not all men are like that, you deserve better."
0,@_lextacyyy only when drunk or in bed... But I'm always drunk
1,A hoe wants attention a women wants respect.
1,It’s like women can’t wait to be a hoe when the relationship ends
1,"@ShirlsAdams @WendellPierce Give it a rest, you fugly skank."
1,I never understood the big deal about making a guy a plate at a get -together/cookout. Shit after the children and women eat im in that bitch
0,@ThomasModzHD_YT @ITz_NaSTy Your an idiot slag him off behind his back call him out you have a. Problem
0,This picture best describes my maturity level https://t.co/mNU01QuP4R
0,"Me when I go anywhere, ever https://t.co/yuxIhSkpyJ"
